dates,col1
2019 Feb 21 16:51:51.592863,K E D _ A R R O W R I G H T
2019 Feb 21 16:51:51.695261,K E D _ A R R O W R I G H T
2019 Feb 21 16:51:52.149660,K E D _ S E L E C T
2019 Feb 21 16:51:52.271579,K E D _ S E L E C T
2019 Feb 21 16:51:54.244891,K E D _ E X I T
2019 Feb 21 16:51:54.394265,K E D _ E X I T
2019 Feb 21 20:58:24.839845,K E D _ S E L E C T
2019 Feb 21 20:58:25.163614,K E D _ S E L E C T
2019 Feb 21 20:58:37.460595,K E D _ D I G I T 7
2019 Feb 21 20:58:37.659897,K E D _ D I G I T 7
2019 Feb 21 20:58:38.304475,K E D _ S E L E C T
2019 Feb 21 20:58:38.674265,K E D _ S E L E C T
2019 Feb 21 20:58:47.901988,K E D _ D I G I T 2
2019 Feb 21 20:58:48.161762,K E D _ D I G I T 2
2019 Feb 21 20:58:49.060102,K E D _ S E L E C T
2019 Feb 21 20:58:49.450448,K E D _ S E L E C T
2019 Feb 21 21:23:17.681465,K E D _ S E L E C T
2019 Feb 21 21:23:18.046142,K E D _ S E L E C T
2019 Feb 21 21:23:20.834811,K E D _ S E L E C T
2019 Feb 21 21:23:21.284657,K E D _ S E L E C T
