x,y,z
1553328177,1,No URL found 
1553328183,1,QAM Linear requested0x3653
1553328183,1,QAM Linear requested0x3653
1553328184,1,Video Tune Succeeded 
1553328218,2,SHELL_STATUS=active 
1553328218,2,PLAYER_STATUS=active 
1553328222,2,GUIDE_STATUS=active
